id,i_dialog,i_utterance,speaker,utterance,Expected
0,0,0,Phoebe,"Alright, whadyou do with him?",5
1,0,1,Monica,Oh! You're awake!,5
2,0,2,Joey,Then you gotta come clean with Ma! This is not right!,5
3,0,3,Mr. Tribbiani,"Yeah, but this is",5
4,0,4,Joey,I don't wanna hear it! Now go to my room!,5
5,1,0,Chandler,I don?t want him to tell this story for years.,5
6,1,1,Ross,"Oh, but he will. He still tells the story how Monica tried to escape from fat camp.",5
7,1,2,Monica,I wasn?t escaping.,5
8,1,3,Ross,Then how did you get caught in the barbed wire?,5
9,1,4,Monica,I was trying to help out a squirrel.,5
10,1,5,Ross,You were trying to eat it!,5
11,1,6,Chandler,If,5
12,1,7,Monica,"Come on.  Hello?  I?m sorry you have the wrong number.   Okay, I?ll call you later dad. I love you.",5
13,2,0,Julie,"I was thinking of doing it a little shorter, you know, like Andie McDowell's new haircut?",5
14,2,1,Phoebe,"Oh yeah!? Oh, I can do that.",5
15,2,2,Julie,Really?,5
16,2,3,Hombre Man,"I'm sorry. I am such a doofus. I'm so sorry, I'm so sorry.",5
17,2,4,Annabelle,"My god, what happened?",5
18,2,5,Joey,"These new kids, they never last.",5
19,2,6,Joey,"Sooner or later, they all...stop lastin'.",5
20,2,7,Joey,"Listen, uh, what do you say I buy you that cup of coffee now?",5
21,2,8,Annabelle,Sure.,5
22,3,0,Monica,"Oh my God Phoebe, you?re on fire!",5
23,3,1,Phoebe,I know!,5
24,3,2,Chandler,One more score to go! You can do it!,5
25,3,3,Phoebe,Don?t touch me!!,5
26,3,4,Monica,Don?t touch her!!,5
27,3,5,Chandler,All right! Go left! Go left! Go right!! Go right!!,5
28,3,6,Phoebe,I can?t!! I can?t!!  Noooooooo!!!!!!! You son of a bitch!!!!!,5
29,3,7,Ross,Phoebe!!,5
30,3,8,Phoebe,Oh hi Ben?No!! Don?t look at the machine!,5
31,4,0,Monica,Feeling a little better sweetie?,5
32,4,1,Joey,"Well, maybe a little. I wish you hadn't seen me throw up.",5
33,4,2,Monica,Me too.,5
34,4,3,Ross,Hey! I just heard. What's up?,5
35,4,4,Joey's Doctor,Kidney stones!,5
36,4,5,Joey's Doctor,"Now, ordinarily Mr. Tribbiani, we try to break up the stones up with shock waves, but they're to close to the bladder now.",5
37,4,6,Joey's Doctor,Which means we can either wait for you to pass them or else go up the urethra,5
38,4,7,Joey,"Whoa-whoa! No-no-no-no-no, nothing is going up! Okay? Up, up is not an option?what's a urethra?  Are you crazy?!",5
39,5,0,Chandler,"So what do you say, maybe sometime I hold your gun?",5
40,5,1,Rachel,Yeah.,5
41,5,2,Ross,Good-good-good.,5
42,5,3,Rachel,Oh-oh!,5
43,5,4,Ross,"Yeah, you got it right? You got it right? You got it?",5
44,5,5,Rachel,Any chance you think the couch looks good there?,5
45,6,0,Rachel,What?,5
46,6,1,Joey,"Beth is really, really sick.",5
47,6,2,Rachel,Awwww.,5
48,6,3,Joey,"Jo?s there, but I don?t think there?s anything she could do.",5
49,6,4,Rachel,Joey?,5
50,6,5,Joey,Yeah.,5
51,6,6,Rachel,Do you want to put the book in the freezer?,5
52,6,7,Joey,Okay.,5
53,6,8,Rachel,Okay.,5
54,7,0,Monica,You okay?,5
55,7,1,Rachel,Yeah.,5
56,7,2,Monica,Really?,5
57,7,3,Rachel,Yeah!,5
58,7,4,Rachel,"Y'know, ever since I ran out on Barry at the wedding, I have wondered whether I made the right choice.",5
59,7,5,Rachel,And now I know.,5
60,7,6,Monica,Aww...,5
61,7,7,Joey,Big day.,5
62,8,0,Monica,"Hello? No rejection? I got shot down at fat camp! Boy, kids are mean when they?re hungry.",5
63,8,1,Joey,"All right so, so what do I do?",5
64,8,2,Monica,This is Rachel.,5
65,8,3,Monica,"I mean, what are you gonna do, never going to talk to her again?",5
66,8,4,Monica,"I mean I know it?s weird, it?s awkward, but you gotta at least try.",5
67,8,5,Joey,Yeah. Okay.  Whoa!  I almost forgot this was on your,5
68,8,6,Chandler,We didn?t play it!!,5
69,9,0,Rachel,Oh God Monica hi!,5
70,9,1,Rachel,"I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",5
71,9,2,Monica,"Okay, everybody, this is Rachel, another Lincoln High survivor.",5
72,9,3,Monica,"This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?",5
73,9,4,Rachel,"Hi, sure!",5
74,9,5,Ross,Hi.,5
75,10,0,Rachel,Will you stop calling it your apartment!,5
76,10,1,Joey,But it is our apartment!,5
77,10,2,Rachel,No it?s not!,5
78,10,3,Phoebe,You guys! You guys! You?re gonna have a baby! They?re gonna have a baby!,5
79,10,4,Frank,MY SISTER?S GONNA HAVE MY BABY!!!!!!!,5
80,10,5,Phoebe,"Okay, but this can?t be good for the baby.",5
81,10,6,All,Oh!,5
82,11,0,Joshua,"Hey, Rachel.",5
83,11,1,Rachel,Hi!,5
84,11,2,Joshua,What?s up? You?re voice sounded all squeaky on the phone.,5
85,11,3,The Stripper,"You are really good at that. So uh, I had fun tonight, you throw one hell of a party.",5
86,11,4,Joey,"Oh thanks. Thanks. It was great meetin? ya. And listen if any of my friends gets married, or have a birthday, or a Tuesday",5
87,11,5,The Stripper,"Yeah, that would be great. So I guess umm, good night.",5
88,11,6,Joey,"Oh unless you uh, you wanna hang around.",5
89,11,7,The Stripper,Yeah?,5
90,11,8,Joey,Yeah. I?ll let you play with my duck.,5
91,12,0,Gunther,Rachel?,5
92,12,1,Rachel,Yeah.,5
93,12,2,Gunther,I don't know if you heard about what happened between me and Phoebe the other day_,5
94,12,3,Rachel,No!,5
95,12,4,Gunther,"Well, we kissed. I-I-I didn't initiate the kiss, but-but I also didn't stop it, and I've been feeling guilty.",5
96,12,5,Rachel,Okay.,5
97,12,6,Gunther,"So umm, are we cool?",5
98,12,7,Rachel,Okay.,5
99,12,8,Gunther,I knew you'd understand.,5
100,13,0,Joey,Hi everyone.,5
101,13,1,Ross,"And officiating at tonight's blackout, is Rabbi Tribbiani.",5
102,13,2,Joey,"Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone.",5
103,13,3,Phoebe,"Eww, look. Ugly Naked Guy lit a bunch of candles.",5
104,13,4,Rachel,"Ooh! Look! Look! Look! Look, there's Joey's picture! This is so exciting!",5
105,13,5,Chandler,"You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom...",5
106,13,6,Phoebe,"The exclamation point in the title scares me.  Y'know, it's not just",5
107,13,7,Ross,"Oh, shhh, shh. Magic is about to happen.",5
108,13,8,Joey,"Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear.",5
109,14,0,Richard,No I don?t have a ring!,5
110,14,1,Richard,You go get her Chandler.,5
111,14,2,Richard,And can I give you a piece of advice?,5
112,14,3,Richard,"If you do get her, don?t let her go.",5
113,14,4,Richard,Trust me.,5
114,14,5,Chandler,Y?know Richard?you are a good guy.,5
115,14,6,Richard,I know.  I,5
116,15,0,Monica,What took you so long?,5
117,15,1,Chandler,"I got caught up and work, but I'm quitting tomorrow.",5
118,15,2,Monica,"Oh, good.",5
119,15,3,Chandler,"So, thanks for having me over! Rach.  Pheebs.",5
120,15,4,Joey,See ya!!  What the hell was that?!,5
121,15,5,Monica,"Probably some y'know, European good-bye thing he picked up in London.",5
122,15,6,Rachel,That's not European!,5
123,15,7,Phoebe,"Well, it felt French.",5
124,16,0,The Singing Man,Morning?s here! The morning?s here!,5
125,16,1,The Singing Man,Hey! You?re back!,5
126,16,2,Joey,Hey!  Get into gear!,5
127,16,3,The Singing Man,Breakfast is near!,5
128,16,4,The Singing Man,I?ll see you tomorrow morning!,5
129,16,5,Joey,Okay!,5
130,17,0,Ross,"Okay, Andre should be there in like 45 minutes. All rightie, bye bye.  Just easier that way.",5
131,17,1,Chandler,"Oh, come on. You told me about the last dream.",5
132,17,2,Rachel,"No, forget it.",5
133,17,3,Chandler,"Oh, why not. Was I doing anything particularly... saucy?",5
134,17,4,Rachel,"Oh! Man, I never thought I'd be here..",5
135,17,5,Ross,Me either...,5
136,18,0,Joey,Every night!!,5
137,18,1,Hypnosis Tape,You do not need to smoke.,5
138,18,2,Hypnosis Tape,Cigarettes don?t control you.,5
139,18,3,Hypnosis Tape,"You are a strong, confident woman, who does not need to smoke.",5
140,18,4,Hypnosis Tape,"A strong, confident woman, who does not need to smoke.",5
141,19,0,Rachel,"Ahh, yes, I will have a glass of the Merlot and uh,  he will have a white wine spritzer.",5
142,19,1,Rachel,Woo!,5
143,19,2,Rachel,"Hey, look at that, the airport?s moving.",5
144,19,3,Rachel,"Hey, are we moving?!",5
145,19,4,Rachel,Are we moving?,5
146,19,5,Rachel,Why are we moving?,5
147,19,6,Rachel,"Hey, time-out, umm, yeah, does the captain know that we?re moving?",5
148,19,7,Rachel,Oh my God.,5
149,19,8,Rachel,"Oh, my gosh.",5
150,20,0,Phoebe,They?ve been quiet for a long time.,5
151,20,1,Joey,Maybe she killed him?,5
152,20,2,Chandler,Let?s go.,5
153,20,3,Chandler,Is that your new walk?,5
154,20,4,Joey,"No, I really have to pee.",5
155,21,0,Monica,Is it okay for me to come in now?,5
156,21,1,Chandler,Uh-huh,5
157,21,2,Monica,Why is everything different?,5
158,21,3,Ross,Bye!,5
159,21,4,Chandler,"No, I don't see anything different other than the fact that the room got so much brighter when you came into it.",5
160,21,5,Monica,"Well, the end table is wrong, The couch looks bizarre and don't even get me started on the refrigerator magnets.",5
161,21,6,Richard,Why?,5
162,21,7,Monica,Why? Because of the government.,5
163,22,0,Rachel,Hi!,5
164,22,1,Monica,Where did you get those jeans?!,5
165,22,2,Rachel,You gave them to me!,5
166,22,3,Joey,"Oh sure?And hey, don?t get me wrong, I am so happy for you guys. I just?I miss?hanging out?just-just us, y?know?",5
167,22,4,Chandler,"Yeah, I miss that too. I tell you what; from now on we?ll make time to hang out with each other.",5
168,22,5,Joey,You got it. Come here.,5
169,22,6,Hooker,"Oh God! Listen, I am this close to robbing you guys.",5
170,22,7,Monica,"She?s a hooker! She?s a hooker! She?s a?  Hi! Uh, we spoke on the phone.",5
171,23,0,Ross,The data we are receiving from MRI scans and DNA testing of these fossils are - are staggering.,5
172,23,1,Professor Sherman,Mmm-mm.,5
173,23,2,Ross,"I mean, we've been accepting Leakey's dates as a given, but if they're off by even a hundred thousand years or so then you can - you can just throw most of our assumptions, you know, right in the trash.",5
174,23,3,Ross,So-so what I am saying is - is is that  is that the repercussions could be huge!,5
175,23,4,Ross,"I mean, not just in palaeontology, but if-if you think about it, in evolutionary biology, uh, genetics, geology, uh, I mean, truly the mind boggles!",5
176,23,5,Ross,"You're right, you're right, it is...So you gonna invite us all to the big opening?",5
177,24,0,Joey,"So you uh, nervous about getting married?",5
178,24,1,Chandler,What are you doing?,5
179,24,2,Ross,Forget it.,5
180,24,3,Ross,I-I?Y?know what?,5
181,24,4,Ross,I?ll just have the conversation.,5
182,24,5,Ross,"I?ll just say I like things the way they are, and hope for the best.",5
183,24,6,Ross,What do you think Rach?,5
184,24,7,Rachel,"I think, if it was a little colder in here I could see your nipples through that sweater.",5
185,25,0,Phoebe,What else? What else?,5
186,25,1,Joey,"Uh, well he?s 33.",5
187,25,2,Phoebe,Oh. Ah-uh.,5
188,25,3,Joey,A widower.,5
189,25,4,Phoebe,Oh.,5
190,25,5,Joey,"He seemed like a stand up guy. Oh, and he?s not into anything weird sexually.",5
191,25,6,Phoebe,Enter Pheebs.,5
192,26,0,Joey,So that?s why I feed my dog,5
193,26,1,Casting Director #2,That?s where you pick up the bag.,5
194,26,2,Joey,Exactly.,5
