"speaker","utterance","emotion","annotation"
"Chandler","also I was the point person on my companys transition from the KL-5 to GR-6 system.","neutral","4100000"
"The Interviewer","You mustve had your hands full.","neutral","5000000"
"Chandler","That I did. That I did.","neutral","5000000"
"The Interviewer","So lets talk a little bit about your duties.","neutral","5000000"
"Chandler","My duties?  All right.","surprise","2000030"
"The Interviewer","Now youll be heading a whole division, so youll have a lot of duties.","neutral","5000000"
"Chandler","I see.","neutral","3100010"
"The Interviewer","But therell be perhaps 30 people under you so you can dump a certain amount on them.","neutral","4000100"
"Chandler","Good to know.","neutral","4100000"
"The Interviewer","We can go into detail","neutral","4000100"
"Chandler","No dont I beg of you!","fear","0004010"
"The Interviewer","All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.","neutral","4100000"
"Chandler","Really?!","surprise","0100040"
"The Interviewer","Absolutely.  You can relax; you did great.","neutral","3200000"
"Joey","But then who? The waitress I went out with last month?","surprise","1000040"
"Rachel","You know? Forget it!","non-neutral","1010102"
"Joey","No-no-no-no, no! Who, who were you talking about?","surprise","1001030"
"Rachel","No, I-I-I-I don't, I actually don't know","non-neutral","2012000"
"Joey","Ok!","neutral","4100000"
"Joey","All right, well...","neutral","3200000"
"Joey","I'm gonna see if I can get a room for the night and I'll...","non-neutral","2210000"
"Joey","I'll see you later!","non-neutral","2210000"
"Rachel","Yeah, sure!","neutral","3200000"
"Chandler","Hey, Mon.","neutral","5000000"
"Monica","Hey-hey-hey. You wanna hear something that sucks.","neutral","4000001"
"Chandler","Do I ever.","joy","2300000"
"Monica","Chris says theyre closing down the bar.","sadness","2030000"
"Chandler","No way!","surprise","0010040"
"Monica","Yeah, apparently theyre turning it into some kinda coffee place.","neutral","3010001"
"Chandler","Just coffee! Where are we gonna hang out now?","non-neutral","0120020"
"Monica","Got me.","sadness","2030000"
"Chandler","Can I get a beer.","neutral","5000000"
"Monica","Hey, did you pick a roommate?","neutral","5000000"
"Chandler","You betcha!","joy","1400000"
"Monica","Is it the Italian guy?","neutral","5000000"
"Chandler","Um-mm, yeah right!","non-neutral","2100002"
"Phoebe","Oh my God, oh my God! Poor Monica!","surprise","0010031"
"Chandler","What, what, what?!","surprise","0001040"
"Phoebe","What?!","surprise","0002030"
"Phoebe","He was with her when he wrote this poem.","neutral","3010010"
"Phoebe","Look,  'My vessel so empty with nothing inside.","neutral","3010001"
"Phoebe","Now that I've touched you, you seem emptier still.'","neutral","3010001"
"Phoebe","He thinks Monica is empty, she is the empty vase!","surprise","1000040"
"Chandler","You really think that is what he meant?","non-neutral","2000021"
"Phoebe","Oh, totally. Oh, God, oh, she seemed so happy too.","sadness","2030000"
"Joey","Done.","neutral","4010000"
"Rachel","Hey!","non-neutral","1200020"
"Ross","Hi!","non-neutral","2200010"
"Rachel","What are you doing here?","surprise","1000040"
"Ross","Ah y'know, this building is on my paper route so I...","neutral","4001000"
"Rachel","Oh.","neutral","4000010"
"Ross","Hi.","neutral","5000000"
"Rachel","Hi.","neutral","5000000"
"Ross","Howd did it go?","neutral","5000000"
"Rachel","Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.","joy","2300000"
"Ross","Im so proud of you.","joy","0500000"
"Rachel","Me too!","joy","0400010"
"Ross","Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...","non-neutral","1022000"
"Rachel","I know.","neutral","4010000"
"Ross","Yeah.","neutral","4010000"
"Rachel","Yeah.","neutral","4010000"
"Phoebe","Ameri-can.","neutral","5000000"
"Sergei","Ameri-ccan.","neutral","5000000"
"Phoebe","Ameri-can. Y'know its a","neutral","5000000"
"Sergei","Everybody!!","surprise","0200030"
"Chandler","Good job Joe! Well done! Top notch!","joy","0500000"
"Joey","You liked it? You really liked it?","surprise","0100040"
"Chandler","Oh-ho-ho, yeah!","joy","0500000"
"Joey","Which part exactly?","neutral","3100010"
"Chandler","The whole thing! Can we go?","neutral","3100010"
"Joey","Oh no-no-no, give me some specifics.","non-neutral","2100101"
"Chandler","I love the specifics, the specifics were the best part!","non-neutral","2200001"
"Joey","Hey, what about the scene with the kangaroo? Did-did you like that part?","neutral","3100010"
"Chandler","I was surprised to see a kangaroo in a World War I epic.","non-neutral","2000021"
"Joey","You fell asleep!!","anger","0010301"
"Joey","There was no kangaroo!","anger","0000311"
"Joey","They didnt take any of my suggestions!","non-neutral","0010202"
"Joey","Thats for coming buddy.","neutral","4010000"
"Joey","Ill see you later.","neutral","3020000"
"Chandler","Dont go!","sadness","0050000"
"Chandler","Im sorry.","sadness","0050000"
"Chandler","Im so sorry!","sadness","0050000"
"Chandler","Look!","surprise","1000130"
"Chandler","This guy fell asleep!","non-neutral","2000021"
"Chandler","He fell asleep too!","non-neutral","1100120"
"Chandler","Be mad at him!","anger","1000400"
"Chandler","Or, call an ambulance.","non-neutral","1000121"
"Joey","Okay, look, I think we have to tell Rachel she messed up her dessert.","neutral","4001000"
"Ross","What?! What is with everybody? Its Thanksgiving, not...Truth-Day!","non-neutral","2000111"
"Phoebe","Yes, and it is my dying wish to have that ring.","neutral","5000000"
"Phoebe","See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity","neutral","3001100"
"Chandler","Okay, thats enough honey!","neutral","3100100"
"Customer","I dont know.  Let me see the ring.","neutral","5000000"
"Chandler","Great! Okay, here.","joy","2300000"
"Customer","All right.","neutral","5000000"
"Chandler","Thank you. Thank you. Thank you!  And","joy","1400000"
"Chandler","What've you been up to?","neutral","5000000"
"Jade","Oh, you know, the usual, teaching aerobics, partying way too much.","neutral","4100000"
"Jade","Oh, and in case you were wondering, those are my legs on the new James Bond poster.","neutral","4100000"
"Chandler","Can you hold on a moment? I have another call.  I love her.","joy","2300000"
"Ross","I know.","neutral","5000000"
"Chandler","I'm back.","neutral","5000000"
"Jade","So, are we gonna get together or what?","neutral","4100000"
"Chandler","Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?","neutral","3200000"
"Jade","Great, I'll see you then.","neutral","3200000"
"Chandler","Ok.  Ok. Having a phone has finally paid off.","joy","2300000"
"Ross","Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""","neutral","5000000"
"Chandler","I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.","neutral","3101000"
"Ross","Oh my god. You are pure evil.","disgust","0000113"
"Chandler","Ok, pure evil , horny and alone . I've done this","non-neutral","2020001"
"Phoebe","Nobody!","anger","0000401"
"Phoebe","Nobody respects the bucket!","anger","0000302"
"Phoebe","You wouldn't believe what people put in here!","non-neutral","0000212"
"Phoebe","Look!","anger","1000301"
"Phoebe","Okay, does this look like a garbage can to you?","anger","0000311"
"Monica","No.","neutral","5000000"
"Ross","This is my wedding.","neutral","3200000"
"Monica","All right, yknow what? We really are late! Lets go! Lets go! Lets go!!","non-neutral","0002120"
"Ross","Fine. Youll-youll watch it on video when we get back.","neutral","3000101"
"Chandler","Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.","joy","1300010"
"Phoebe","Thank you.","neutral","3200000"
"Phoebe","Thank you.","neutral","3200000"
"Ross","All right, lets go! Bye, Pheebs!","joy","1400000"
"Joey","Bye, Pheebs!","joy","1400000"
"Joey","London baby!!","joy","0500000"
"Phoebe","Oh, do you need a hug? You dont have to bring me anything!","joy","2300000"
"Chandler","Hey!","non-neutral","2100020"
"Joey","Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.","joy","1400000"
"Chandler","Thats great, but shouldnt you be on the toilet right now?","non-neutral","2001011"
"Joey","What?!","surprise","1000031"
"Chandler","Whats wrong with you?","non-neutral","1001012"
"Joey","Nothing!","neutral","3000020"
"Joey","Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.","fear","1013000"
"Joey","But um, I dont think its anything serious.","neutral","4001000"
"Chandler","This sounds like a hernia. You have toyou-you go to the doctor!","surprise","1001030"
